db,t,n,events,auroc,lo,hi,anchor_24h
mimic3,15,644,164,0.5795,0.5261,0.6273,False
mimic3,16,637,161,0.5825,0.5351,0.6301,False
mimic3,17,631,154,0.5781,0.5252,0.621,False
mimic3,18,617,146,0.5658,0.5123,0.6156,False
mimic3,19,606,142,0.5658,0.5164,0.6176,False
mimic3,20,583,142,0.5654,0.5169,0.6175,False
mimic3,21,567,138,0.5712,0.5194,0.6257,False
mimic3,22,552,127,0.5553,0.5067,0.609,False
mimic3,23,537,128,0.5614,0.5013,0.6096,False
mimic3,24,511,127,0.5526,0.5,0.6072,True
mimic3,25,498,120,0.5474,0.4914,0.5989,False
mimic3,26,483,124,0.5465,0.4937,0.6065,False
mimic3,27,475,117,0.5742,0.514,0.6311,False
mimic3,28,463,111,0.5592,0.5,0.6191,False
mimic3,29,451,108,0.5318,0.4731,0.5958,False
mimic3,30,436,108,0.5595,0.5041,0.6178,False
mimic3,31,427,102,0.546,0.4871,0.6037,False
mimic3,32,408,102,0.5281,0.4627,0.592,False
mimic3,33,400,103,0.5457,0.4813,0.6065,False
mimic3,34,391,102,0.5187,0.4525,0.5797,False
mimic3,35,382,96,0.5206,0.4503,0.5868,False
mimic3,36,375,94,0.5597,0.4885,0.6313,False
mimic3,37,368,93,0.5623,0.4929,0.6307,False
mimic3,38,355,100,0.5738,0.5074,0.6414,False
mimic3,39,342,100,0.5713,0.5052,0.6401,False
mimic3,40,331,90,0.5608,0.4888,0.6327,False
mimic3,41,318,89,0.5335,0.4596,0.5991,False
mimic3,42,310,81,0.5356,0.4715,0.5982,False
mimic3,43,304,77,0.5465,0.4713,0.6167,False
mimic3,44,299,80,0.5661,0.4872,0.6356,False
mimic3,45,292,78,0.5682,0.4945,0.6439,False
mimic3,46,282,71,0.5652,0.4978,0.6506,False
mimic3,47,279,68,0.5346,0.4603,0.6211,False
mimic3,48,271,66,0.531,0.4537,0.6113,False
mimic3,49,269,65,0.5719,0.4917,0.6495,False
mimic3,50,260,65,0.5811,0.5064,0.6603,False
mimic3,51,256,69,0.58,0.5015,0.6448,False
mimic3,52,252,68,0.5989,0.526,0.6813,False
mimic3,53,247,65,0.5489,0.4581,0.6427,False
mimic3,54,242,61,0.5557,0.4742,0.6381,False
mimic3,55,238,61,0.5746,0.4973,0.6654,False
mimic3,56,237,62,0.5753,0.5043,0.6535,False
mimic3,57,229,63,0.5649,0.4781,0.6526,False
mimic3,58,226,62,0.569,0.4912,0.638,False
mimic3,59,221,64,0.5715,0.4902,0.6581,False
mimic3,60,220,67,0.5251,0.4426,0.6012,False
mimic3,61,217,69,0.5086,0.4294,0.5805,False
mimic3,62,216,70,0.519,0.44,0.5981,False
mimic3,63,212,73,0.5199,0.4315,0.6049,False
mimic3,64,209,68,0.5204,0.4252,0.6077,False
mimic3,65,205,65,0.5074,0.4306,0.5875,False
mimic3,66,202,60,0.5137,0.4308,0.603,False
mimic3,67,198,61,0.519,0.4288,0.6136,False
mimic3,68,194,60,0.5216,0.4344,0.6089,False
mimic3,69,192,62,0.4945,0.4099,0.5843,False
mimic3,70,190,61,0.4924,0.4124,0.5718,False
mimic3,71,188,56,0.4851,0.4034,0.5618,False
mimic3,72,186,55,0.4654,0.3814,0.5513,False
